screenW,Browser,workerid,screenH,OS
1067,Chrome,0,800,Windows
1366,Chrome,1,768,Windows
1366,Chrome,2,768,Windows
1536,Chrome,3,864,Windows
1366,Chrome,4,768,Windows
360,Chrome,5,740,Linux
1366,Chrome,6,768,Windows
1707,Chrome,7,960,Windows
360,Chrome,8,640,Linux
1366,Chrome,9,768,Windows
1366,Chrome,10,768,Windows
1536,Chrome,11,864,Windows
1366,Chrome,12,768,Windows
1440,Chrome,13,900,Mac
1920,Chrome,14,1080,Windows
1536,Chrome,15,864,Windows
1680,Firefox,16,1050,Windows
886,Chrome,17,665,Windows
1280,Chrome,18,1024,Windows
1366,Chrome,19,768,Windows
1920,Chrome,20,1080,Windows
1366,Chrome,21,768,Windows
1920,Chrome,22,1080,Windows
1366,Chrome,23,768,Linux
1366,Chrome,24,768,Windows
1366,Chrome,25,768,Windows
412,Chrome,26,869,Linux
1360,Chrome,27,768,Windows
1280,Chrome,28,720,Windows
1920,Chrome,29,1080,Windows
1600,Chrome,30,900,Windows
1024,Firefox,31,768,Windows
1920,Chrome,32,1080,Windows
1440,Chrome,33,900,Mac
1280,Firefox,34,720,Windows
1366,Chrome,35,768,Windows
1366,Chrome,36,768,Windows
1829,Chrome,37,1029,Windows
939,Firefox,38,704,Windows
1280,Chrome,39,1024,Windows
1680,Firefox,40,1050,Mac
1366,Chrome,41,768,Windows
1504,Chrome,42,1003,Windows
1536,Chrome,43,864,Windows
768,Safari,44,1024,an unknown OS
1280,Chrome,45,800,Mac
1600,Chrome,46,900,Windows
1536,Chrome,47,864,Windows
1366,Chrome,48,768,Windows
1600,Firefox,49,900,Windows
1536,Chrome,50,864,Windows
1366,Chrome,51,768,Windows
375,Safari,52,812,iPhone/iPod
1536,Firefox,53,864,Windows
1440,Chrome,54,900,Mac
1680,Chrome,55,1050,Windows
962,Chrome,56,601,Linux
1280,Chrome,57,720,Windows
1440,Chrome,58,900,Windows
1920,Chrome,59,1080,Windows
1366,Chrome,60,768,Linux
1920,Chrome,61,1080,Windows
1280,Chrome,62,720,Windows
1024,Chrome,63,600,Windows
1280,Chrome,64,800,Windows
1920,Chrome,65,1080,Windows
1366,Chrome,66,768,Linux
1360,Chrome,67,768,Windows
1920,Chrome,68,1080,Windows
1920,Chrome,69,1200,Mac
1366,Chrome,70,768,Windows
1280,Chrome,71,720,Windows
1536,Chrome,72,864,Windows
1440,Safari,73,900,Mac
1075,Chrome,74,672,Windows
1920,Chrome,75,1080,Windows
1366,Chrome,76,768,Linux
1920,Chrome,77,1080,Windows
1920,Chrome,78,1080,Windows
1920,Chrome,79,1080,Windows
1920,Chrome,80,1080,Windows
1920,Chrome,81,1200,Windows
1920,Chrome,82,1080,Windows
1366,Chrome,83,768,Windows
1366,Chrome,84,768,Windows
1200,Chrome,85,800,Linux
1366,Chrome,86,768,Windows
412,Chrome,87,732,Linux
1280,Chrome,88,800,Mac
1920,Chrome,89,1080,Windows
1680,Chrome,90,1050,Windows
1280,Chrome,91,800,Mac
1280,Chrome,92,800,Mac
1366,Chrome,93,768,Linux
1408,Firefox,94,792,Windows
1366,Chrome,95,768,Windows
1440,Chrome,96,900,Mac
1920,Chrome,97,1080,Windows
1366,Chrome,98,768,Windows
1920,Chrome,99,1080,Windows
1400,Chrome,100,1050,Windows
1280,Chrome,101,800,Mac
1280,Chrome,102,800,Mac
1920,Chrome,103,1080,Windows
1525,Firefox,104,858,Linux
1920,Chrome,105,1080,Windows
1280,Chrome,106,720,Windows
1536,Chrome,107,864,Windows
1536,Chrome,108,864,Windows
1366,Chrome,109,768,Windows
1536,Chrome,110,864,Windows
1280,Chrome,111,800,Mac
1920,Chrome,112,1080,Windows
1536,Chrome,113,864,Windows
2560,Chrome,114,1080,Linux
1536,Chrome,115,864,Linux
1280,Chrome,116,800,Mac
1200,Chrome,117,800,Linux
768,Safari,118,1024,Mac
1280,Chrome,119,720,Windows
1280,Chrome,120,720,Windows
1600,Chrome,121,900,Windows
1366,Chrome,122,768,Windows
412,Chrome,123,846,Linux
1920,Chrome,124,1080,Windows
1366,Chrome,125,768,Linux
1366,Chrome,126,768,Windows
1920,Chrome,127,1080,Linux
1366,Chrome,128,768,Windows
1366,Chrome,129,768,Windows
1536,Chrome,130,864,Windows
1920,Chrome,131,1080,Windows
1440,Firefox,132,900,Mac
1536,Chrome,133,864,Windows
1366,Chrome,134,768,Windows
1366,Chrome,135,768,Windows
1920,Chrome,136,1080,Mac
1366,Firefox,137,768,Windows
1280,Firefox,138,720,Windows
1920,Firefox,139,1080,Windows
1536,Chrome,140,864,Windows
412,Chrome,141,823,Linux
1440,Chrome,142,900,Windows
1280,Chrome,143,720,Mac
414,Safari,144,736,iPhone/iPod
1920,Chrome,145,1080,Windows
1440,Safari,146,900,Mac
1366,Chrome,147,768,Windows
1600,Chrome,148,900,Windows
600,Chrome,149,1024,Linux
1536,Chrome,150,864,Windows
1920,Chrome,151,1080,Windows
1366,Chrome,152,768,Windows
1366,Chrome,153,768,Windows
1280,Chrome,154,720,Windows
1920,Chrome,155,1080,Windows
1366,Firefox,156,768,Windows
1680,Firefox,157,1050,Windows
1920,Chrome,158,1200,Windows
1440,Safari,159,900,Mac
1920,Chrome,160,1080,Windows
1600,Chrome,161,900,Windows
1364,Chrome,162,768,Windows
1366,Chrome,163,768,Windows
1280,Chrome,164,720,Windows
1366,Chrome,165,768,Linux
1366,Chrome,166,768,Windows
1280,Chrome,167,720,Windows
1920,Chrome,168,1080,Windows
1280,Chrome,169,1024,Windows
1366,Chrome,170,768,Windows
1366,Chrome,171,768,Windows
1536,Chrome,172,864,Windows
1440,Chrome,173,900,Windows
1920,Firefox,174,1536,Windows
1600,Chrome,175,900,Windows
1920,Chrome,176,1080,Windows
1440,Chrome,177,900,Mac
1366,Chrome,178,768,Linux
1440,Chrome,179,900,Windows
1280,Chrome,180,1024,Windows
1366,Chrome,181,768,Windows
1920,Chrome,182,1080,Windows
2144,Firefox,183,1206,Windows
1360,Chrome,184,768,Windows
1366,Chrome,185,768,Windows
1408,Firefox,186,792,Windows
1024,Chrome,187,768,Windows
1366,Chrome,188,768,Windows
1920,Chrome,189,1080,Windows
1366,Firefox,190,768,Windows
1920,Chrome,191,1080,Windows
1366,Chrome,192,768,Linux
1366,Chrome,193,768,Windows
1280,Chrome,194,720,Windows
1366,Firefox,195,768,Windows
1920,Chrome,196,1080,Windows
2560,Chrome,197,1440,Mac
2560,Chrome,198,1080,Windows
1440,Chrome,199,900,Mac
1440,Chrome,200,900,Mac
1536,Chrome,201,864,Windows
1366,Chrome,202,768,Windows
1368,Chrome,203,912,Windows
1920,Chrome,204,1080,Windows
1366,Chrome,205,768,Windows
1366,Chrome,206,768,Linux
1366,Chrome,207,768,Windows
1366,Chrome,208,768,Windows
1920,Chrome,209,1080,Windows
1920,Chrome,210,1080,Windows
1024,Chrome,211,768,Windows
2560,Chrome,212,1440,Mac
1440,Chrome,213,900,Mac
1600,Chrome,214,900,Windows
1920,Chrome,215,1080,Windows
1600,Firefox,216,900,Windows
1366,Firefox,217,768,Windows
1280,Chrome,218,854,Windows
1366,Chrome,219,768,Windows
